1.500000	0.833837	0.683243
2.000000	0.957721	0.693147
2.500000	1.021063	0.696291
3.000000	1.054197	0.709723
3.500000	1.068913	0.732355
4.000000	1.071253	0.761294
4.500000	1.064780	0.794201
5.000000	1.051787	0.829438
5.500000	1.033830	0.865905
6.000000	1.012015	0.902871
6.500000	0.987150	0.939850
7.000000	0.959843	0.976522
7.500000	0.930558	1.012681
8.000000	0.899659	1.048192
8.500000	0.867434	1.082973
9.000000	0.834112	1.116978
9.500000	0.799883	1.150184
10.000000	0.764898	1.182585
10.500000	0.729284	1.214187
